LAST,FIRST,LEAGUE,TEAM,POSITION,1PG,2PG,SHOTS,ES%
Tinney,Joel,PLL,Atlas,Midfield,6,0,23,0.26
Ryland,Rees,MLL,Cannons,Long Stick Midfield,5,1,25,0.26
Cody,Radziewicz,MLL,Rattlers,Midfield,12,0,46,0.26
Lucas,Wittenberg,MLL,Rattlers,Midfield,9,1,40,0.26
Zach,Currier,MLL,Outlaws,Midfield,17,1,72,0.26
Will,Snider,MLL,Outlaws,Midfield,4,1,21,0.26
Kevin,Crowley,MLL,Lizards,Midfield,18,0,68,0.26
Buczek,Connor,PLL,Atlas,Midfield,14,2,64,0.27
Brown,Ryan,PLL,Atlas,Attack,20,1,81,0.27
Haus,John,PLL,Whipsnakes,Midfield,7,1,31,0.27
Colin,Heacock,MLL,Bayhawks,Attack,37,0,136,0.27
Matt,Abbott,MLL,Bayhawks,Midfield,11,0,41,0.27
Ryan,McNamara,MLL,Rattlers,Midfield,27,2,112,0.27
Nick,Spillane,MLL,Lizards,Midfield,4,0,15,0.27
McArdle,Kieran,PLL,Atlas,Attack,12,0,43,0.28
Froccaro,Jake,PLL,Chaos,Midfield,11,3,56,0.28
Chanenchuk,Mike,PLL,Whipsnakes,Midfield,8,7,65,0.28
Dylan,Molloy,MLL,Lizards,Attack,28,0,99,0.28
Cuccinello,Christian,PLL,Archers,Attack,8,0,28,0.29
Crawley,John,PLL,Atlas,Midfield,5,0,17,0.29
Glicini,Mark,PLL,Chaos,Midfield,2,0,7,0.29
Kelly,Thomas,PLL,Chaos,Midfield,2,0,7,0.29
Adams,Brent,PLL,Redwoods,Midfield,10,0,35,0.29
Kavanagh,Matt,PLL,Redwoods,Attack,14,1,54,0.29
Rambo,Matt,PLL,Whipsnakes,Attack,19,0,66,0.29
Will,Sands,MLL,Cannons,Attack,15,0,52,0.29
Kevin,McNally,MLL,Bayhawks,Midfield,2,0,7,0.29
Nick,Mariano,MLL,Bayhawks,Midfield,20,0,70,0.29
Ryan,Tucker,MLL,Bayhawks,Midfield,5,0,17,0.29
Colton,Watkinson,MLL,Bayhawks,Midfield,2,1,12,0.29
Manny,Will,PLL,Archers,Attack,21,1,74,0.3
Sieverts,Jeremy,PLL,Whipsnakes,Midfield,3,0,10,0.3
Cal,Dearth,MLL,Cannons,Midfield,9,0,30,0.3
James,Fahey,MLL,Cannons,Defense,0,1,5,0.3
Zed,Williams,MLL,Cannons,Attack,31,1,109,0.3
Andrew,Kew,MLL,Bayhawks,Attack,20,1,72,0.3
Steven,Romano,MLL,Lizards,Midfield,3,0,10,0.3
Schreiber,Tom,PLL,Archers,Midfield,15,2,59,0.31
Class,Deemer,PLL,Chaos,Midfield,10,0,32,0.31
Kyle,Jackson,MLL,Cannons,Midfield,23,1,78,0.31
Mark,Cockerton,MLL,Cannons,Attack,43,0,137,0.31
Bryce,Wasserman,MLL,Rattlers,Attack,36,0,115,0.31
John,Grant Jr,MLL,Outlaws,Attack,21,0,67,0.31
Chris,Aslanian,MLL,Outlaws,Attack,22,0,71,0.31
Nick,Aponte,MLL,Lizards,Attack,17,0,54,0.31
Holman,Marcus,PLL,Archers,Attack,21,2,74,0.32
Scott,Eric,PLL,Chaos,Attack,7,0,22,0.32
Drenner,Ryan,PLL,Whipsnakes,Attack,18,1,61,0.32
Dylan,Maher,MLL,Atlas,Attack,5,2,25,0.32
Kyle,Denhoff,MLL,Cannons,Midfield,10,3,45,0.32
Hodgson,Andrew,PLL,Atlas,Midfield,1,0,3,0.33
Cloutier,Chris,PLL,Atlas,Attack,9,0,27,0.33
Richard,Jake,PLL,Atlas,Midfield,1,0,3,0.33
Resch,Patrick,PLL,Chaos,Midfield,1,0,3,0.33
Guterding,Justin,PLL,Chrome,Attack,19,1,62,0.33
Marasco,JoJo,PLL,Redwoods,Midfield,1,0,3,0.33
Harbeson,Patrick,PLL,Redwoods,Midfield,3,0,9,0.33
Young,Bryce,PLL,Whipsnakes,Defense,2,0,6,0.33
Ehrhardt,Michael,PLL,Whipsnakes,Long Stick Midfield,2,3,20,0.33
Matt,Whitcher,MLL,Atlas,Midfield,3,0,9,0.33
Brendan,Sunday,MLL,Atlas,Attack,24,0,73,0.33
Alex,Woodall,MLL,Atlas,Midfield,3,0,9,0.33
James,Burr,MLL,Cannons,Attack,3,0,9,0.33
John,Wagner,MLL,Bayhawks,Attack,9,0,27,0.33
Michael,Panepinto,MLL,Bayhawks,Midfield,1,0,3,0.33
Ryan,Beville,MLL,Rattlers,Midfield,2,0,6,0.33
Ryan,Lee,MLL,Outlaws,Attack,37,1,115,0.33
Ben,Randall,MLL,Lizards,Defense,1,0,3,0.33
Mark,Ellis,MLL,Lizards,Midfield,1,0,3,0.33
Brendan,Kearns,MLL,Lizards,Attack,13,0,39,0.33
Joey,Sessa,MLL,Lizards,Midfield,1,0,3,0.33
Lyle,Thompson,MLL,Bayhawks,Attack,46,0,137,0.34
Buchanan,Kevin,PLL,Chaos,Midfield,8,0,23,0.35
Garnsey,Ryder,PLL,Redwoods,Attack,14,0,40,0.35
Zach,Goodrich,MLL,Cannons,Midfield,6,0,17,0.35
Nick,Galasso,MLL,Lizards,Midfield,13,0,37,0.35
Fields,Connor,PLL,Chaos,Attack,22,0,61,0.36
Haus,Will,PLL,Chrome,Midfield,4,0,11,0.36
Bradley,Voigt,MLL,Rattlers,Attack,17,0,47,0.36
Justin,Reh,MLL,Lizards,Attack,15,0,42,0.36
Jack,Curran,MLL,Rattlers,Attack,28,0,76,0.37
Kyle,Marr,MLL,Outlaws,Attack,4,1,15,0.37
Kelly,Stephen,PLL,Archers,Midfield,3,0,8,0.38
Unterstein,Kevin,PLL,Atlas,Midfield,3,0,8,0.38
Crotty,Ned,PLL,Chrome,Midfield,16,1,46,0.38
Max,Adler,MLL,Outlaws,Midfield,5,0,13,0.38
Thompson,Miles,PLL,Chaos,Attack,11,0,28,0.39
Heningburg,Jules,PLL,Redwoods,Attack,21,0,54,0.39
Ryan,Walsh,MLL,Lizards,Attack,17,0,44,0.39
Thompson,Ty,PLL,Chrome,Attack,2,0,5,0.4
Nardella,Joseph,PLL,Whipsnakes,Midfield,6,0,15,0.4
